OBJECTID,CSA2010,femhhs10,femhhs15,femhhs16,femhhs17,femhhs18,femhhs19,CSA2020,femhhs21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,63.59489051,66.617357,69.7438376,71.12970711,70.79561696,70.23565574,Allendale/Irvington/S. Hilton,77.78364116,63770461.78,38770.16557
2,Beechfield/Ten Hills/West Hills,51.37668424,48.87714663,59.1174562,55.18731988,62.90207291,55.2949538,Beechfield/Ten Hills/West Hills,60.01446132,47882527.71,37524.95053
3,Belair-Edison,63.72705507,74.12109375,74.91961415,77.52905725,75.50494199,72,Belair-Edison,70.22607023,44950030.47,31307.31484
4,Brooklyn/Curtis Bay/Hawkins Point,50.97276265,46.0375391,43.56382979,43.39360223,40.62727936,43.93833217,Brooklyn/Curtis Bay/Hawkins Point,59.05024088,176077742.7,150987.7036
5,Canton,19.84126984,12.43523316,9.090909091,10.55045872,13.43963554,15.02242152,Canton,16.32183908,15408538.22,23338.61195
6,Cedonia/Frankford,55.25581395,53.03602058,45.68965517,43.71544416,44.88985193,44.22258592,Cedonia/Frankford,50.04754358,71541340.31,39962.54983
7,Cherry Hill,80.72880168,80.62130178,78.15810921,75.6201882,76.60961695,73.45132743,Cherry Hill,81.00470958,29144181.35,22305.30207
8,Chinquapin Park/Belvedere,51.47208122,57.41935484,48.32285115,42.23013049,44.60154242,44.41453567,Chinquapin Park/Belvedere,54.07894737,21022590.13,21705.41163
9,Claremont/Armistead,57.13101161,51.24333925,53.76254181,55.77072037,52.90076336,54.96783417,Orchard Ridge/Armistead,56.77039529,61243774.42,40104.41598
10,Clifton-Berea,69.99182339,72.63922518,67.86542923,63.77491208,62.71820449,54.54545455,Clifton-Berea,50.79365079,23285233.93,24022.76462
11,Cross-Country/Cheswolde,19.49728261,19.15563957,19.48051948,18.4,18.24966079,18.30985915,Cross-Country/Cheswolde,8.829568789,38222018.32,26788.30188
12,Dickeyville/Franklintown,66.82098765,67.64705882,72.98578199,68.8372093,64.30260047,63.65853659,Dickeyville/Franklintown,73.08707124,35719112.41,31637.81742
13,Dorchester/Ashburton,58.04638089,72.76011561,64.89197531,64.61038961,72.54207263,74.0117746,Dorchester/Ashburton,66.57633243,34118277.18,27136.07571
14,Downtown/Seton Hill,58.99053628,78.72340426,59.72222222,73.2718894,62.35955056,57.06666667,Downtown/Seton Hill,54.09836066,20736554.41,21565.85939
15,Edmondson Village,67.68774704,65.44916091,60.2484472,62.21294363,70.86614173,71.29943503,Edmondson Village,68.54663774,23563061.04,21504.55136
16,Fells Point,25.69832402,24.95479204,24.95344507,20.03816794,19.8943662,10.77235772,Fells Point,14.13881748,12620515.72,27670.16992
17,Forest Park/Walbrook,62.52045827,70.67757009,66.50294695,70.96134787,64.39252336,67.54385965,Forest Park/Walbrook,53.32011893,37200535.03,36886.89978
18,Glen-Fallstaff,44.78386167,51.30023641,46.88581315,42.77743335,38.20895522,39.25174382,Glen-Fallstaff,36.66454488,46995477.48,48549.00462
19,Greater Charles Village/Barclay,49.29396662,30.83756345,40.9350057,41.87192118,40.45714286,36.26609442,Greater Charles Village/Barclay,43.0420712,27051213.46,26454.26921
20,Greater Govans,60.27496382,63.08777429,56.89655172,63.45991561,55.07124895,53.96565822,Greater Govans,51.73992674,22698495.72,22982.12571
21,Greater Mondawmin,66.57032755,83.31193838,75.17564403,74.3872549,73.67668097,67.71879484,Greater Mondawmin,68.02841918,33663448.28,31136.73189
